provider,category,cluster,hq_country,eu_regions,billing_granularity,billing_minimum,req_subhour_billing,req_api_provisioning,req_persistent_volume,hard_reqs_passed,eu_residency_bonus,terraform_provider,gh_runner_story,storage_usd_gb_month,egress,verification_status,disqualifiers,notes
UpCloud,eu-neocloud,UpCloud plus European neoclouds,Finland,FI-HEL2 Telia Helsinki - GPU plans run EXCLUSIVELY here; no GPU failover region,per-hour,'GPU Server plans are billed by the starting hour' - whole-hour rounding,FAIL,pass,pass,2,yes,"UpCloudLtd/upcloud v5.43.0 (PARTNER tier, 5.89M downloads - the most mature provider in this study)",none documented,0.250 MaxIOPS Helsinki / 0.097 Standard / 0.110 Archive Helsinki,"free (zero-cost egress, Fair Transfer Policy)",CORRECTED,"WHOLE-HOUR ROUNDING - a 14-minute CI run costs a full hour. This is the one hard requirement UpCloud fails, and it costs roughly 4.3x on the ci-smoke scenario. Single GPU zone.","USD prices are UpCloud's OWN published figures via the site currency toggle, not an FX conversion - the earlier EURx1.1535 derivation overstated H100 by 8.2%. Archive storage is $0.110/GB-mo at the HELSINKI price (the $0.065 global figure does not apply, since GPU is Helsinki-exclusive)."
Hyperstack (NexGen Cloud),gpu-native,GPU-native clouds,United Kingdom,NORWAY-1 Vestland - Norway is EEA/GDPR but NOT an EU member state,per-minute,none found for on-demand,pass,pass,pass,3,"no (EEA Norway, not EU)",NexGenCloud/hyperstack (official but flagged ALPHA / under active development),none documented,0.07,free,NOT_VERIFIED,"A SHUTOFF VM still bills FULL COMPUTE because resources stay reserved - teardown must DELETE or HIBERNATE, or the CI cost model breaks silently. Could not confirm which SKUs are stocked in NORWAY-1 vs CANADA-1/US-1; the pricing page is not region-differentiated.","Cheapest 48GB in the EEA at $0.50/hr and cheapest 96GB anywhere at $1.85/hr - but NOT source-verified in this study, so those numbers carry less weight than Verda's or RunPod's."
Vast.ai,marketplace,marketplace / consumer-GPU clouds,United States,"SE, NL, EE, FR, PL, DE, FI, SI, CZ, ES, BG, RO (first-class geolocation filter on the search API)",per-second,none for on-demand,pass,pass,FAIL,2,yes (48GB and below only - no EU offers above 48GB at query time),none (registry search returned zero),none - you would write it yourself,"host-set, no platform rate",CHARGED IN BOTH DIRECTIONS at a host-set rate; observed $0.004/TB to $40/TB across EU offers,NOT_VERIFIED,"Volumes are LOCAL-ONLY - physically tied to one machine, so the weight cache is hostage to one stranger's box and unreachable if that host is rented out or leaves. Storage bills for every second the instance EXISTS regardless of state; the only way to stop it is to destroy the data. Egress is billed both directions at an unknowable-in-advance rate. Zero EU offers for H100 PCIe, H200, B200 or A100 80GB.","Cheapest EU 48GB found anywhere: RTX 6000 Ada $0.5407/hr in Estonia (live snapshot 2026-08-08, floats continuously). Most EU offers are individual hosts, not certified datacenters. Putting a 13GB proprietary denoiser on an unvetted consumer host is a data-exposure decision, not just a reliability one."
Shadeform,marketplace (aggregator),marketplace / consumer-GPU clouds,United States,"FI Central (verda), FI Helsinki + FR Paris (nebius), FR/PL (scaleway), DE Frankfurt (latitude/vultr), NL Amsterdam (paperspace), NO (excesssupply/hyperstack - EEA not EU)",UNKNOWN - inherited per underlying cloud,unknown,unknown,pass,pass,2,yes,shadeform/shadeform (community),"none, but the easiest to build one on",~0.07-0.20 depending on underlying cloud,unknown,NOT_VERIFIED,"Billing granularity genuinely UNKNOWN - Shadeform's own docs never state it and rates pass through from 19 different clouds, so hard requirement #1 is unresolved. Volumes attach only within the same underlying cloud+region and are limited to one per instance, so the multi-cloud advantage evaporates once a volume exists. Much of the catalog showed available=false at query time.","Aggregates real cloud OPERATORS (nebius, scaleway, crusoe, verda, digitalocean...), not anonymous consumer hosts - a materially better trust posture than Vast or Salad. Going direct to Verda beats Shadeform's reseller B200 price by ~6%."
Koyeb,serverless,serverless / per-second GPU platforms,France,"fra Frankfurt, par Paris exist; GPU availability in them NOT confirmed",per-second (rounded up to the nearest second),none; no minimum commitment,pass,pass,FAIL,2,unknown,none,none found,n/a,unknown,NOT_VERIFIED,"PERSISTENT VOLUMES CAP AT 10 GB - the ~20GB weight set does not fit, so every run re-downloads. Decisive for the ci-smoke and interactive scenarios. GPU-in-region unconfirmed: three first-party sources list regions but none maps GPUs to them.","Would otherwise be very attractive - L40S at $1.20/hr and RTX A6000 at $0.75/hr with genuine per-second billing. Re-evaluate immediately if the volume cap lifts. Acquired by Mistral AI, whose stated rationale is serving its own inference - a real roadmap risk for a third-party CI use case."
Scaleway,eu-neocloud,UpCloud plus European neoclouds,France,"PAR-2 Paris (L40S, H100 PCIe, H100 SXM, B300 SXM), WAW-2 Warsaw (L40S, H100), PAR-1 (L4 only)","CONTESTED - product page says by-the-minute, pricing doc says per-hour","no minimum commitment; billing pauses on power-off, ends on delete",unknown,pass,pass,2,"yes (H100 SXM confirmed schedulable in PAR-2, France)",scaleway/scaleway v2.80.0 (PARTNER-PREMIER),none found,not captured,unknown,NOT_VERIFIED,"Prices for every 48GB+ SKU are ZONE-GATED and never render: the pricing page shows 'Not available in this zone' with no figure, ?zone=fr-par-2 is ignored server-side, and the public product-catalog API returns no GPU products at all. Only the L4 price rendered. Savings plans explicitly EXCLUDE all GPU types. B300 is 8-GPU-only, so there is no small slice for bursty CI.","The one L40S figure ($1.70) is a 'starting price EUR 1.47/hour' converted at the same unchecked 1.1535 rate that inflated Exoscale - LABEL IT, do not trust it. Billing granularity is contested within the source data itself."
Microsoft Azure,hyperscaler,hyperscalers-eu-regions,United States,"swedencentral, northeurope (Ireland), westeurope (Netherlands), germanywestcentral",per-minute,full minutes only - 'not billed for any extra seconds',pass,pass,pass,3,yes,hashicorp/azurerm (official),none first-party confirmed,0.145 Premium SSD (P30) / 0.075 Standard SSD; disks are TIERED so a 50GB cache pays the 128 GiB tier: P10 $19.71 northeurope / $21.68 swedencentral,unknown,NOT_VERIFIED,"NO 48GB-CLASS GPU IN ANY EU REGION - the ladder jumps A10 24GB straight to A100 80GB. Quota is per-family per-region AND, uniquely, Azure's docs warn a deployment can still fail on CAPACITY with quota approved. H200 spot meters are priced IDENTICAL to on-demand (zero discount).","Only provider offering a SINGLE 80GB+ GPU as a normal VM in a Nordic EU region without buying eight. All figures come from Microsoft's official unauthenticated Retail Prices API (whole-VM prices, directly comparable to AWS) - high-quality data even though this provider was not in the verification set. Spot discount varies 3.4x by region for the same SKU with no pattern."
Google Cloud (Compute Engine),hyperscaler,hyperscalers-eu-regions,United States,"europe-north1 Hamina Finland, europe-west4 Eemshaven Netherlands",per-second,1-minute minimum; Spot VMs preempted under 1 minute are not billed,pass,pass,pass,3,yes,hashicorp/google (official),none first-party confirmed,NOT CAPTURED,unknown,NOT_VERIFIED,"EVERY published GPU figure is ACCELERATOR-ONLY - vCPU and RAM bill as separate SKUs, so a bare GCP GPU number against a whole-VM number understates GCP by 20-30%. The 'RTX 6000 96GB @ $1.205215/hr europe-north1' figure is the single most suspect number in the dataset (roughly half the next-cheapest 96GB GPU anywhere, and a sibling SKU reads '1 gpu slice' at $0.495) - DO NOT let it anchor anything. Google removed the GPU pricing tables from its docs and the machine-readable price list 404s; figures come from the JS-rendered SKU explorer.","europe-north1 Finland spot is the standout: A100 80GB spot $0.5456/GPU-hr (87% off) and H100 spot $1.0353 (90.4% off), 4-5x cheaper than europe-west4 for the same card. The one worked ALL-IN example is a2-ultragpu-1g at $5.536/hr on-demand against a $4.325 accelerator-only figure. Quota needs TWO approvals per GPU model (regional AND global) and on-demand vs spot are separate quotas."
Crusoe Cloud,gpu-native,GPU-native clouds,United States,"eu-iceland1-a Keflavik - Iceland is EEA, NOT an EU member",per-hour (pricing page); a blog claims per-second but no docs page confirms it,'no minimum commitment' for on-demand,FAIL,pass,pass,2,no (EEA Iceland),crusoecloud/crusoe (official),none found,0.08 persistent / 0.07 shared,unknown,NOT_VERIFIED,Published billing granularity is per-HOUR; all spot pricing is 'contact sales'; only European region is Iceland (EEA not EU); SKU stock in eu-iceland1-a unconfirmed,"Strongest IaC story in its cluster (official Terraform provider + CLI + REST) and a stopped VM is NOT billed while its disk persists - a good warm-cache shape. Worth one direct confirmation on billing granularity: if per-second is real, L40S at $1.50/GPU-hr is competitive."
machine.dev,ci-native,CI-native GPU runners,unknown,"eu-south-2 Spain (T4, L4, L40S only - NOT the 96GB tier)",per-minute,not documented (unverified),pass,pass (native managed runner),unknown,2,yes (48GB ceiling in the EU region),none,"NATIVE - set runs-on: to a machine.dev label and it provisions an ephemeral GPU runner per job, then tears it down. No orchestration code, no cloud account. Spot is a first-class per-job option.",unknown (storage doc 404s),bundled,NOT_VERIFIED,"Persistent-volume story is UNVERIFIED (the storage doc 404s) - which is exactly the ~20GB weight-cache requirement. The EU region caps at 48GB L40S; the 96GB RTX PRO 6000 is not listed for Spain. Single EU region, no failover. Billing minimum/rounding not documented.","The best CI-NATIVE fit found: the only managed GitHub Actions runner service with a 48GB GPU in an EU region. L40S spot $0.94/hr (4-6x below its $3.72/hr on-demand). If the weight-cache question resolves, this is the lowest-integration-effort option in the whole study."
Prime Intellect,marketplace,marketplace / consumer-GPU clouds,United States,europe_west (a documented API filter value; underlying countries not enumerated),per-minute,none documented,pass,pass,pass,3,"unknown (an API enum value, not a named region)",none,none found,unknown,unknown,NOT_VERIFIED,"NOT A SINGLE PRICE IS OBTAINABLE without an account - the pricing page 404s and the availability API returns 403 Not authenticated. Explicitly no SLA. Cannot be costed, therefore cannot be compared.",All four requirements pass on documentation. Ten minutes with a free account and one authenticated GET would fill the entire table. The one number in their docs (onDemand 2.69) is captioned as an EXAMPLE RESPONSE and is deliberately NOT reported as a price.
Beam Cloud,serverless,serverless / per-second GPU platforms,United States,"claims servers in US/Europe/Asia but publishes NO EU region list, no region flag, no residency guarantee",per-second (millisecond-level),none; cold boot and container load are NOT billed,pass,pass,pass,3,unknown,none,none found,0.021 (1 TB included),unknown,NOT_VERIFIED,"EU residency is an 'ask us' path, not a selectable region - unknown, not pass. Smaller and younger than Modal or RunPod.","NOT billing cold-start or container-load time is a genuinely meaningful property for a workload that must pull 20GB of weights on every start. Open-source core (beta9) means it is self-hostable, a real vendor hedge."
Salad (SaladCloud),marketplace,marketplace / consumer-GPU clouds,United States,"any EU country selectable via countryCodes - but nodes are consumer gaming PCs, not datacenters",per-second,none; cold boot and image download are NOT billed,pass,pass,FAIL,2,no (consumer PCs in EU countries is not data residency in any meaningful sense),none,"none; container-groups-with-replicas, not SSH-able VMs",n/a,unknown,NOT_VERIFIED,"ENTIRE CATALOG TOPS OUT AT 32GB (RTX 5090) - cannot run this workload at all under ADR-0005. No persistent storage: S4 caps at 100MB per file and auto-deletes after 30 days, so a 13GB denoiser cannot be stored. Nodes disconnect at will even at 'High' priority. No SSH, so interactive debugging is impractical.",Cheapest consumer rates anywhere ($0.204/hr for a 4090 at batch priority) and uniquely does not bill cold boot or image download. Irrelevant here purely because of the VRAM ceiling.
TensorDock,marketplace,marketplace / consumer-GPU clouds,United States,NONE DISCLOSED - claims 100+ locations in 20+ countries but names no EU datacenter; the one located fleet is Dallas,per-second,none for duration (2 vCPU / 4GB / 20GB resource minimums),pass,unknown,unknown,1,unknown,none,none,0.036 (derived from $0.00005/GB/hr),min 1 Gbps included,UNVERIFIABLE,"Every price except the H100 comes from a table stamped 'Last Updated: July 24, 2024' carrying the vendor's own inaccuracy disclaimer, and drift is PROVEN (table says RTX 4090 $0.35, the live 4090 page says 'from $0.37'). The pricing URL 404s. The documented public availability endpoint returns HTTP 200 with an EMPTY hostnodes object - not one live host, price or location could be enumerated.",Acquired by Voltage Park; looks like a platform mid-transition. Stop-and-keep-disk billing would be the right shape for a weight cache if any of it could be verified.
Hetzner,eu-neocloud,UpCloud plus European neoclouds,Germany,"FSN1 Falkenstein, NBG Nuremberg (DE), HEL1 Helsinki (FI)",per-hour with a monthly cap,"hourly; dedicated-server order/cancel lifecycle, not API create/destroy",FAIL,"FAIL (hcloud provider covers Hetzner Cloud only, NOT the GEX dedicated GPU line)",FAIL (local NVMe in the box; Cloud Volumes do not attach to dedicated servers),0,yes,"hetznercloud/hcloud v1.68.0 - Hetzner CLOUD only, does not provision GEX","a long-lived runner on a rented box - the same shape as the apartment 4090, in someone else's building",n/a (local NVMe),traffic allowance included,NOT_VERIFIED,"Fails all three hard requirements. GPUs exist only as DEDICATED bare-metal servers (GEX line); there is no GPU option in Hetzner Cloud. Not ephemeral, not API-provisioned, no detachable volume.","BEST $/VRAM IN THE ENTIRE STUDY and it fails every hard requirement: GEX131 = RTX PRO 6000 Blackwell Max-Q 96GB, 24-core Xeon, 256GB RAM, at EUR889/$989 a month ($1.585/hr), no setup fee. If the real goal is 'stop heating the apartment' plus 'unblock int4 training', one GEX131 with a permanently registered runner is the cheapest thing here. If the goal is strictly ephemeral per-PR CI, it is a non-starter."
OVHcloud,eu-neocloud,UpCloud plus European neoclouds,France,Gravelines France (GPU-verified); Frankfurt and others in the selector but GPU availability per region unverified,per-hour,hourly instances; storage per GB/hour,FAIL,pass,pass,2,yes,ovh/ovh v2.19.0 (PARTNER); OpenStack-based so Nova APIs also apply,none found,0.048 Classic / 0.096 High speed,free,NOT_VERIFIED,"Hourly billing, no documented sub-hour granularity for instances. Per-region GPU availability could not be verified.","Prices quoted natively in USD, no conversion applied. l40s-90 (1x L40S 48GB, 15 vCPU, 90GB) $1.80/hr; a100-180 (A100 80GB) $3.07; h100-380 (H100 80GB, 3.84TB NVMe passthrough) $2.99. The separate AI Training/Notebooks product line has its own rates and is a managed job runner, not a VM you can register a runner on."
IONOS Cloud,eu-neocloud,UpCloud plus European neoclouds,Germany,"Germany, France, Spain (plus UK/USA, non-EU)",per-minute,"none; 'down to the minute, no minimum term; billing ends when you delete your server'",pass,unknown,FAIL,1,yes,"ionos-cloud/ionoscloud v6.7.35 (PARTNER-PREMIER) but targets IONOS CLOUD, not the ionos.com dedicated GPU servers",none found,n/a (local NVMe RAID1),unknown,NOT_VERIFIED,"The GPU offering is on the DEDICATED server line, not Compute Engine - programmatic create/destroy on the same footing is unestablished, and storage is local NVMe RAID1 with no detachable volume documented. The IONOS CLOUD price page contains NO GPU compute pricing at all; two separate product worlds.","IP4-50 GPU: RTX PRO 6000 Blackwell 96GB, 2x Xeon 6517P, 256GB DDR5, 1.92TB NVMe RAID1 at $3.2500/hr with a $2,340/month cap. If a machine-readable create/destroy API for the dedicated line exists, per-minute billing would make IONOS a serious contender; if not, it is Hetzner's shape at double the price."
CoreWeave,gpu-native,GPU-native clouds,United States,"'Europe' - unnamed on the pricing page, inferred from an EU spot column",per-hour (implied),unconfirmed - billing docs behind an access-code login,unknown,unknown,unknown,0,unknown (an unnamed 'Europe' is not a named EU-member region),none found,none found,unknown,unknown,NOT_VERIFIED,"MINIMUM UNIT IS AN 8-GPU NODE - no single-GPU SKU exists on the published rate card. The cheapest 48GB-class entry is a whole L40S node at $18.00/hr, ~36x the cost of a single 48GB GPU elsewhere, for a workload that needs exactly one. L40S/L40 show EU spot as N/A so the 48GB class may not be in Europe at all. Billing model, storage pricing and the API story are all behind a gated docs site.",EU spot rates per GPU are genuinely cheap (RTX PRO 6000 96GB $11.01/hr for 8 = $1.38/GPU-hr) if the workload ever wants eight GPUs at once. For one-GPU bursts it is the wrong shape.
Genesis Cloud,eu-neocloud,UpCloud plus European neoclouds,Germany,"NORD-NO-KRS-1 Kristiansand, NORWAY - EEA/GDPR but NOT EU. The only region the compute API documents.",unknown,unknown,unknown,pass,pass,2,no (EEA Norway),none found in the registry,none found,unknown,unknown,NOT_VERIFIED,"The public website is BROKEN: genesiscloud.com returns HTTP 522 and the pricing/product URLs 404. No price could be verified from any first-party source, so every price field is null. A vendor whose marketing site is down while its docs stay up is itself a reliability signal.","Documented instance types exist (H100 SXM5 80GB, RTX 3090, Gaudi2) but are entirely unpriced. Circulating third-party figures were deliberately NOT recorded - treat them as rumour."
Gcore,eu-neocloud,gap-fill,Luxembourg,Luxembourg (H100 GenAI cluster CONFIRMED first-party); Frankfurt/Paris/Amsterdam/Warsaw exist but GPU availability unconfirmed,unknown (marketed per-minute; no first-party page confirms it - both candidate docs URLs 404),unknown,unknown,unknown,unknown,0,yes (H100 in Luxembourg only; other SKUs' regions unconfirmed),not verified,none found,unknown,"unknown (marketed free, unconfirmed)",NOT_VERIFIED,"NOT CLEARED AGAINST ANY of the three hard requirements - every first-party route either 404'd or omitted the detail. Every price is a 'From EUR x/hour' FLOOR excluding VAT, converted at an ASSUMED 1.17 USD/EUR rate that was never fetched. The H100 Luxembourg announcement mentions a six-month commitment, which if still current conflicts with the no-commitment requirement.","EU-headquartered with its own footprint, a genuine sovereignty advantage. The least solid numbers in the study - do not put them head-to-head with Verda's exact USD list prices. Most likely provider to improve on a browser-driven follow-up."
Oracle Cloud Infrastructure (OCI),hyperscaler,gap-fill,United States,"NOT ESTABLISHED - no region list was fetched; empty here means 'not checked', NOT 'Oracle has no EU regions'",per-second ('depending on the shape' - unresolved for BM.GPU.* bare metal),not stated in the fetched docs,pass,unknown,unknown,1,unknown,not verified,none found,unknown,unknown,UNVERIFIABLE,"EVERY oracle.com pricing route returned HTTP 403, so no price was obtained for any SKU. Structurally more important: every OCI shape at 48GB or above is a 4-GPU or 8-GPU BARE-METAL node. The only single-GPU VM shapes are A10 24GB or V100/P100 16GB. There is no way to buy one 48GB or one 80GB GPU.","The shape ladder IS confirmed first-party from docs.oracle.com (A100 40/80, H100, H200, B200, B300, RTX PRO 6000 96GB, L40S, MI300X, MI355X) - and that alone is likely disqualifying regardless of price. Plausible third-party prices were seen and deliberately NOT recorded."
Vultr,hyperscaler,gap-fill,United States,fra Frankfurt - CONFIRMED to carry the 8x A100 80GB bare-metal plan; the ONLY Vultr GPU plan with a non-empty locations array including an EU region,per-hour,'The minimum billing unit is one hour'; charges begin at deploy regardless of power state; a stopped-not-destroyed server keeps billing,FAIL,pass,pass,2,yes (8x A100 node in Frankfurt only),not verified this pass,none found,not captured,unknown,NOT_VERIFIED,"Hourly minimum with charges starting at deploy - one 14-minute CI smoke on the only EU-available plan (8x A100 at $22.40/hr) costs $22.40. Of nine GPU plans, EIGHT return an EMPTY locations array from Vultr's own API, meaning no region currently offers them - including the single-GPU fractional L40S.","All figures come from Vultr's unauthenticated public REST API (marketing pages 403), which also exposed the live locations array that revealed the inventory problem."
