scenario,provider,gpu_model,vram_gb,eu_resident,pricing_mode,compute_hours,compute_usd,overhead_usd,storage_usd,egress_usd,total_usd_month,assumptions
ci-smoke,RunPod (Secure Cloud),NVIDIA RTX PRO 6000 (96GB),96,yes,on-demand,8.6667,15.92,1.33,3.5,0,20.75,"40 runs x 12min = 8.00h actual compute. boot 60s (provider-documented) x 40 = 0.6667h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.99; overhead_usd = 0.6667h x $1.99. Storage: 50GB network volume @ $0.07/GB-mo. 96GB in an EU datacenter"
ci-smoke,AWS EC2,NVIDIA L40S (g6e.xlarge),48,yes,on-demand,9.3333,15.69,2.61,4.18,0,22.48,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.961; overhead_usd = 1.3333h x $1.961. Storage: 50GB gp3 @ $0.0836/GB-mo eu-south-2/Stockholm rate (NOT re-verified). eu-south-2 Spain, cheapest EU. Only 4 vCPU - the loractl encode phase is single-threaded CPU, so g6e.4xlarge at $3.187 may be the honest floor"
ci-smoke,Verda,NVIDIA L40S,48,yes,on-demand,9.3333,10.96,1.83,10.0,0,22.79,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.37; overhead_usd = 1.3333h x $1.37. Storage: 50GB NVMe @ $0.20/GiB-mo. Verda prepays in 10-min blocks and refunds the unused portion, so the effective charge is usage-based. Ada-generation 48GB, faster than an A6000"
ci-smoke,Modal,"NVIDIA L40S (EU-pinned, broad 'eu')",48,yes,on-demand,8.0556,23.41,0.16,0.0,0,23.58,"40 runs x 12min = 8.00h actual compute. boot 5s (provider-documented) x 40 = 0.0556h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $2.9268; overhead_usd = 0.0556h x $2.9268. Storage: 1 TiB/month free. EU pinning applies a 1.5x multiplier to the $1.9512 base; narrow eu-west Dublin is 1.75x = $3.4146"
ci-smoke,Verda,NVIDIA A100 SXM4 80GB,80,yes,on-demand,9.3333,14.32,2.39,10.0,0,26.71,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.79; overhead_usd = 1.3333h x $1.79. Storage: 50GB NVMe @ $0.20/GiB-mo. Verda prepays in 10-min blocks and refunds the unused portion, so the effective charge is usage-based. Finland"
ci-smoke,Cerebrium,NVIDIA H100,80,yes,on-demand,8.0333,27.19,0.11,0.0,0,27.3,"40 runs x 12min = 8.00h actual compute. boot 3s (provider-documented) x 40 = 0.0333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $3.3984; overhead_usd = 0.0333h x $3.3984. Storage: first 100GB free. one of the few Cerebrium SKUs actually schedulable in an EU region"
ci-smoke,Verda,NVIDIA RTX PRO 6000 (96GB),96,yes,on-demand,9.3333,15.12,2.52,10.0,0,27.64,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $1.89; overhead_usd = 1.3333h x $1.89. Storage: 50GB NVMe @ $0.20/GiB-mo. Verda prepays in 10-min blocks and refunds the unused portion, so the effective charge is usage-based. 96GB removes the ADR-0005 ceiling outright, in an EU region, for under $2/hr"
ci-smoke,Nebius,NVIDIA HGX H100,80,yes,on-demand,9.3333,30.8,5.13,4.0,0,39.93,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $3.85; overhead_usd = 1.3333h x $3.85. Storage: 50GB Shared Filesystem @ $0.08/GiB-mo. eu-north1 Finland is the only Nebius region with H100"
ci-smoke,Verda,NVIDIA H100 SXM5,80,yes,on-demand,9.3333,26.0,4.33,10.0,0,40.33,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $3.25; overhead_usd = 1.3333h x $3.25. Storage: 50GB NVMe @ $0.20/GiB-mo. Verda prepays in 10-min blocks and refunds the unused portion, so the effective charge is usage-based. cheapest source-verified EU H100"
ci-smoke,Lambda,NVIDIA H100 PCIe,80,yes,on-demand,9.3333,26.32,4.39,10.0,0,40.71,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $3.29; overhead_usd = 1.3333h x $3.29. Storage: 50GB filesystem @ $0.20/GiB-mo. no spot tier"
ci-smoke,DigitalOcean,NVIDIA HGX H100,80,yes,on-demand,9.3333,35.28,5.88,0.0,0,41.16,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $4.41; overhead_usd = 1.3333h x $4.41. Storage: VOLUME PRICE NOT PUBLISHED/FETCHED - storage OMITTED, total is a LOWER BOUND. 5-minute minimum billing period does not bind (each run is ~14 min). AMS3 Amsterdam is DigitalOcean's ONLY EU GPU and H100 is its ONLY EU GPU model"
ci-smoke,Modal,"NVIDIA H100 (EU-pinned, broad 'eu')",80,yes,on-demand,8.0556,47.39,0.33,0.0,0,47.72,"40 runs x 12min = 8.00h actual compute. boot 5s (provider-documented) x 40 = 0.0556h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $5.9238; overhead_usd = 0.0556h x $5.9238. Storage: 1 TiB/month free. $3.9492 base x 1.5 EU multiplier; narrow eu-west Dublin is 1.75x = $6.9111"
ci-smoke,Google Cloud,NVIDIA A100 80GB (a2-ultragpu-1g ALL-IN),80,yes,on-demand,9.3333,44.29,7.38,0.0,0,51.67,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $5.536; overhead_usd = 1.3333h x $5.536. Storage: PERSISTENT DISK PRICE NOT CAPTURED - storage OMITTED, total is a LOWER BOUND. europe-north1 Finland. All-in = 12 vCPU x $0.034806 + 170 GiB x $0.004664 + $4.325209 accelerator. Every OTHER GCP figure in this study is accelerator-only and NOT comparable."
ci-smoke,Microsoft Azure,NVIDIA A100 80GB (NC24ads_A100_v4),80,yes,on-demand,9.3333,35.26,5.88,19.71,0,60.85,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $4.408; overhead_usd = 1.3333h x $4.408. Storage: Azure disks are TIERED - a 50GB cache pays the 128 GiB P10 tier: $19.71/mo northeurope (Standard SSD E-tier is cheaper). northeurope Ireland. The only single 80GB+ GPU sold as a normal VM in an EU region without buying eight. Whole-VM price, directly comparable."
ci-smoke,UpCloud,NVIDIA L40S,48,yes,on-demand,40.0,10.16,40.64,12.5,0,63.3,"40 runs x 12min = 8.00h actual compute. boot 45s (provider-documented). PER-HOUR BILLING: each 12min+boot run is charged a FULL HOUR, so 40 billed hours vs 8.00h used. compute_usd = 8.00h x $1.27; overhead_usd = the 32.00h ROUNDING PENALTY x $1.27 (4.3x the honest cost). Storage: 50GB MaxIOPS Helsinki @ $0.250/GB-mo (Standard $0.097 = $4.85 is the cheaper option). | MISSES sub-hour billing - 'GPU Server plans are billed by the starting hour'"
ci-smoke,AWS EC2,NVIDIA H100 SXM (p5.4xlarge),80,yes,on-demand,9.3333,71.55,11.93,4.18,0,87.66,"40 runs x 12min = 8.00h actual compute. boot 120s (ASSUMED - provider publishes no boot time) x 40 = 1.3333h overhead. Sub-hour billing, no rounding penalty. compute_usd = 8.00h x $8.944; overhead_usd = 1.3333h x $8.944. Storage: 50GB gp3 @ $0.0836/GB-mo. eu-west-2 LONDON - the only single-H100 EC2 shape anywhere in the EU/UK; not available in Stockholm or Frankfurt"
ci-smoke,UpCloud,NVIDIA H100,80,yes,on-demand,40.0,15.12,60.48,12.5,0,88.1,"40 runs x 12min = 8.00h actual compute. boot 45s (provider-documented). PER-HOUR BILLING: each 12min+boot run is charged a FULL HOUR, so 40 billed hours vs 8.00h used. compute_usd = 8.00h x $1.89; overhead_usd = the 32.00h ROUNDING PENALTY x $1.89 (4.3x the honest cost). Storage: 50GB MaxIOPS Helsinki @ $0.250/GB-mo. | MISSES sub-hour billing - billed by the starting hour"
interactive-dev,Thunder Compute,NVIDIA RTX A6000,48,no,on-demand,20,7.0,0,2.5,0,9.5,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB snapshot @ $0.05/GB-mo (persistent disk dies with the instance; 100GB/GPU free while running). cheapest 48GB anywhere; US-only, no EU region"
interactive-dev,RunPod (Community Cloud),NVIDIA RTX A6000,48,yes,on-demand,20,6.6,0,3.5,0,10.1,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo (billed HOURLY, not per-second). CHEAPEST 48GB-class GPU-hour found anywhere in this study. Community = vetted third-party hosts, NOT preemptible and cannot be outbid"
interactive-dev,RunPod (Community Cloud),NVIDIA A40,48,yes,on-demand,20,7.0,0,3.5,0,10.5,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo (billed HOURLY, not per-second). Community = vetted third-party hosts, NOT preemptible and cannot be outbid"
interactive-dev,RunPod (Secure Cloud),NVIDIA A40,48,yes,on-demand,20,8.8,0,3.5,0,12.3,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo. T3/T4 partner datacenters; the tier to use for private weights
interactive-dev,Hyperstack,NVIDIA RTX A6000,48,no,on-demand,20,10.0,0,3.5,0,13.5,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB volume @ $0.07/GB-mo. NORWAY-1 = EEA not EU; a SHUTOFF VM still bills FULL COMPUTE - teardown must DELETE or hibernate
interactive-dev,Beam Cloud,NVIDIA A6000,48,unknown,on-demand,20,16.42,0,0.0,0,16.42,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 1 TB storage included free. Beam does NOT bill cold boot or container load - the only provider here where boot is genuinely free
interactive-dev,Verda,NVIDIA RTX A6000,48,yes,on-demand,20,12.2,0,10.0,0,22.2,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB NVMe @ $0.20/GiB-mo. 10-min prepaid blocks with automatic refund of the unused portion
interactive-dev,Thunder Compute,NVIDIA A100 80GB,80,no,on-demand,20,21.8,0,2.5,0,24.3,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB snapshot @ $0.05/GB-mo. cheapest 80GB-class with all 3 requirements; US-only
interactive-dev,RunPod (Community Cloud),NVIDIA A100 PCIe 80GB,80,yes,on-demand,20,23.8,0,3.5,0,27.3,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo. third-party hosts
interactive-dev,Hyperstack,NVIDIA A100 PCIe 80GB,80,no,on-demand,20,27.0,0,3.5,0,30.5,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB volume @ $0.07/GB-mo. EEA Norway
interactive-dev,RunPod (Secure Cloud),NVIDIA A100 PCIe 80GB,80,yes,on-demand,20,27.8,0,3.5,0,31.3,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo. EU datacenter, vetted T3/T4 hardware"
interactive-dev,DigitalOcean,NVIDIA L40S,48,no,on-demand,20,31.4,0,0.0,0,31.4,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: VOLUME PRICE NOT PUBLISHED/FETCHED - storage cost OMITTED, total is a LOWER BOUND. TOR1 Toronto ONLY - inside DigitalOcean, cheap-48GB and EU are mutually exclusive"
interactive-dev,Lambda,NVIDIA RTX A6000,48,yes,on-demand,20,21.8,0,10.0,0,31.8,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB filesystem @ $0.20/GiB-mo (billed while it exists, even unmounted). Europe-Central-1 Germany is a real region; A6000 stock THERE is unconfirmed. No spot tier at all."
interactive-dev,Nebius,NVIDIA L40S (AMD CPU),48,yes,on-demand,20,31.0,0,4.0,0,35.0,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB Shared Filesystem @ $0.08/GiB-mo (billed regardless of VM attachment). eu-north1 Finland; true per-second billing
interactive-dev,Verda,NVIDIA L40S,48,yes,on-demand,20,27.4,0,10.0,0,37.4,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB NVMe @ $0.20/GiB-mo. Ada-generation 48GB, faster than an A6000"
interactive-dev,UpCloud,NVIDIA L40S,48,yes,on-demand,20,25.4,0,12.5,0,37.9,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB MaxIOPS Helsinki @ $0.250/GB-mo (Standard $0.097 = $4.85 is the cheaper option). | MISSES sub-hour billing - 'GPU Server plans are billed by the starting hour' Per-hour billing: contiguous multi-hour sessions round to at most +1h each, so the penalty is small here (unlike ci-smoke)."
interactive-dev,Cerebrium,NVIDIA L40S,48,no,on-demand,20,39.02,0,0.0,0,39.02,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: first 100GB free @ $0.05/GB-mo beyond. L40S is NOT in either GA EU region - US-only despite Cerebrium's EU story
interactive-dev,Modal,NVIDIA L40S,48,no,on-demand,20,39.02,0,0.0,0,39.02,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 1 TiB/month free @ $0.09/GiB-mo beyond. US base rate
interactive-dev,Exoscale,NVIDIA RTX Pro 6000 (96GB),96,yes,on-demand,20,43.0,0,0.0,0,43.0,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: BLOCK STORAGE PRICE UNVERIFIABLE (renders client-side) - storage OMITTED, total is a LOWER BOUND; GPU local storage is billed separately and excluded from the headline rate. PRICE UNVERIFIABLE - carried forward as the corrected numeral after removing a fabricated FX conversion. Also gated behind MANUAL ACCOUNT SCREENING favouring 'established businesses'"
interactive-dev,RunPod (Secure Cloud),NVIDIA RTX PRO 6000 (96GB),96,yes,on-demand,20,39.8,0,3.5,0,43.3,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB network volume @ $0.07/GB-mo. 96GB in an EU datacenter
interactive-dev,AWS EC2,NVIDIA L40S (g6e.xlarge),48,yes,on-demand,20,39.22,0,4.18,0,43.4,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB gp3 @ $0.0836/GB-mo eu-south-2/Stockholm rate (NOT re-verified). eu-south-2 Spain, cheapest EU. Only 4 vCPU - the loractl encode phase is single-threaded CPU, so g6e.4xlarge at $3.187 may be the honest floor"
interactive-dev,Verda,NVIDIA A100 SXM4 80GB,80,yes,on-demand,20,35.8,0,10.0,0,45.8,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB NVMe @ $0.20/GiB-mo. Finland
interactive-dev,Verda,NVIDIA RTX PRO 6000 (96GB),96,yes,on-demand,20,37.8,0,10.0,0,47.8,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB NVMe @ $0.20/GiB-mo. 96GB removes the ADR-0005 ceiling outright, in an EU region, for under $2/hr"
interactive-dev,UpCloud,NVIDIA H100,80,yes,on-demand,20,37.8,0,12.5,0,50.3,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB MaxIOPS Helsinki @ $0.250/GB-mo. | MISSES sub-hour billing - billed by the starting hour Per-hour billing: contiguous multi-hour sessions round to at most +1h each, so the penalty is small here (unlike ci-smoke)."
interactive-dev,Modal,"NVIDIA L40S (EU-pinned, broad 'eu')",48,yes,on-demand,20,58.54,0,0.0,0,58.54,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 1 TiB/month free. EU pinning applies a 1.5x multiplier to the $1.9512 base; narrow eu-west Dublin is 1.75x = $3.4146
interactive-dev,Cerebrium,NVIDIA H100,80,yes,on-demand,20,67.97,0,0.0,0,67.97,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: first 100GB free. one of the few Cerebrium SKUs actually schedulable in an EU region
interactive-dev,Verda,NVIDIA H100 SXM5,80,yes,on-demand,20,65.0,0,10.0,0,75.0,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB NVMe @ $0.20/GiB-mo. cheapest source-verified EU H100
interactive-dev,Lambda,NVIDIA H100 PCIe,80,yes,on-demand,20,65.8,0,10.0,0,75.8,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB filesystem @ $0.20/GiB-mo. no spot tier
interactive-dev,Nebius,NVIDIA HGX H100,80,yes,on-demand,20,77.0,0,4.0,0,81.0,20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: 50GB Shared Filesystem @ $0.08/GiB-mo. eu-north1 Finland is the only Nebius region with H100
interactive-dev,DigitalOcean,NVIDIA HGX H100,80,yes,on-demand,20,88.2,0,0.0,0,88.2,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: VOLUME PRICE NOT PUBLISHED/FETCHED - storage OMITTED, total is a LOWER BOUND. AMS3 Amsterdam is DigitalOcean's ONLY EU GPU and H100 is its ONLY EU GPU model"
interactive-dev,Microsoft Azure,NVIDIA A100 80GB (NC24ads_A100_v4),80,yes,on-demand,20,88.16,0,19.71,0,107.87,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: Azure disks are TIERED - a 50GB cache pays the 128 GiB P10 tier: $19.71/mo northeurope (Standard SSD E-tier is cheaper). northeurope Ireland. The only single 80GB+ GPU sold as a normal VM in an EU region without buying eight. Whole-VM price, directly comparable."
interactive-dev,Google Cloud,NVIDIA A100 80GB (a2-ultragpu-1g ALL-IN),80,yes,on-demand,20,110.72,0,0.0,0,110.72,"20h of attached session time. Volume held all month. Boot/teardown overhead is negligible at session scale and is not modelled separately. Storage: PERSISTENT DISK PRICE NOT CAPTURED - storage OMITTED, total is a LOWER BOUND. europe-north1 Finland. All-in = 12 vCPU x $0.034806 + 170 GiB x $0.004664 + $4.325209 accelerator. Every OTHER GCP figure in this study is accelerator-only and NOT comparable."
