provider,gpu_model,vram_gb,gpu_count,instance_name,vcpu,ram_gb,local_disk_gb,on_demand_usd_hr,spot_usd_hr,usd_hr_per_gpu,region_priced,tier,source_url,verification_status
RunPod (Community Cloud),NVIDIA RTX 6000 Ada,48,1,"NVIDIA RTX 6000 Ada Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.74,,0.74,EU DCs where stocked,48GB,https://www.runpod.io/pricing,CORRECTED
Koyeb,NVIDIA RTX A6000,48,1,RTX-A6000,6,64,160,0.75,,0.75,not stated; GPU-in-EU-region UNCONFIRMED,48GB,https://www.koyeb.com/pricing,NOT_VERIFIED
TensorDock,NVIDIA RTX 6000 Ada,48,1,RTX 6000 Ada - STALE table stamped 2024-07-24,,,,0.75,,0.75,unspecified,48GB,https://www.tensordock.com/cloud-gpus.html,UNVERIFIABLE
RunPod (Secure Cloud),NVIDIA RTX 6000 Ada,48,1,NVIDIA RTX 6000 Ada Pod - Secure,,,,0.77,,0.77,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),48GB,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA L40S,48,1,"NVIDIA L40S Pod - Community (3rd-party hosts, NOT preemptible)",,,,0.79,,0.79,EU DCs where stocked,48GB,https://www.runpod.io/pricing,CORRECTED
Thunder Compute,NVIDIA L40,48,1,L40,,,,0.79,,0.79,North America ONLY,48GB,https://www.thundercompute.com/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA L40,48,1,NVIDIA L40 Pod - Secure,,,,0.82,,0.82,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),48GB,https://www.runpod.io/pricing,CORRECTED
Beam Cloud,NVIDIA A6000,48,1,A6000 PCIE,,,,0.8208,,0.8208,not stated; NO EU region published,48GB,https://www.beam.cloud/pricing,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA L40S,48,1,NVIDIA L40S Pod - Secure,,,,0.99,,0.99,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),48GB,https://www.runpod.io/pricing,CORRECTED
Hyperstack,NVIDIA L40,48,1,L40,,,,1.0,,1.0,not region-differentiated,48GB,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
Verda,NVIDIA RTX 6000 Ada,48,1,RTX 6000 Ada,10,60,,1.04,0.52,1.04,FIN Helsinki (EU),48GB,https://verda.com/pricing,CONFIRMED
Exoscale,NVIDIA A40 (GPU3),48,2,A40 (GPU3) MEDIUM,24,120,100,2.09,,1.045,DE-FRA-1 Frankfurt (EU),48GB,https://www.exoscale.com/pricing/,UNVERIFIABLE
Exoscale,NVIDIA A40 (GPU3),48,1,A40 (GPU3) SMALL,12,56,100,1.05,,1.05,DE-FRA-1 Frankfurt (EU),48GB,https://www.exoscale.com/pricing/,UNVERIFIABLE
Lambda,NVIDIA RTX A6000,48,1,1x A6000,14,100,512,1.09,,1.09,"global rate card; Europe-Central-1 DE exists, SKU stock unconfirmed",48GB,https://lambda.ai/pricing,CORRECTED
Shadeform,NVIDIA RTX 6000 Ada,48,1,RTX6000Ada (via verda),10,60,250,1.1,,1.1,FI Central (EU),48GB,https://api.shadeform.ai/v1/instances/types,NOT_VERIFIED
Koyeb,NVIDIA L40S,48,1,L40S,15,64,160,1.2,,1.2,not stated; GPU-in-EU-region UNCONFIRMED,48GB,https://www.koyeb.com/pricing,NOT_VERIFIED
RunPod (Serverless),NVIDIA RTX A6000 / A40,48,1,NVIDIA RTX A6000 / A40 Serverless,,,,1.22,,1.22,global list,48GB,https://www.runpod.io/pricing,CORRECTED
Gcore,NVIDIA L40S,48,1,"L40S ('From EUR1.08/hr' ex-VAT x ASSUMED 1.17 FX - FLOOR PRICE, UNVERIFIED RATE)",,,,1.26,,1.26,not stated per-SKU,48GB,https://gcore.com/cloud/ai-gpu,UNVERIFIABLE
UpCloud,NVIDIA L40S,48,1,1x L40S / 8c / 64GB,8,64,,1.27,0.95,1.27,FI-HEL2 Helsinki (EU),48GB,https://upcloud.com/global/products/gpu-servers/,CORRECTED
Verda,NVIDIA L40S,48,1,L40S,20,60,,1.37,0.685,1.37,FIN Helsinki (EU),48GB,https://verda.com/pricing,CONFIRMED
Crusoe Cloud,NVIDIA L40S,48,1,L40S,,,,1.5,,1.5,"eu-iceland1-a Keflavik (EEA, not EU); SKU stock unconfirmed",48GB,https://www.crusoe.ai/cloud/pricing,NOT_VERIFIED
Nebius,NVIDIA L40S (AMD CPU),48,1,L40S AMD,,,,1.55,0.74,1.55,eu-north1 Finland (EU),48GB,https://nebius.com/prices,CORRECTED
DigitalOcean,NVIDIA L40S,48,1,L40S GPU Droplet,8,64,500,1.57,,1.57,TOR1 Toronto ONLY - NOT in any EU region,48GB,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
DigitalOcean,NVIDIA RTX 6000 Ada,48,1,RTX 6000 Ada GPU Droplet,8,64,500,1.57,,1.57,TOR1 Toronto ONLY,48GB,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
Vultr,NVIDIA L40S,48,1,"vcg-l40s-16c-180g-48vram (fractional) - locations array EMPTY, no region offers it",16,180,1200,1.671,,1.671,NONE currently,48GB,https://api.vultr.com/v2/plans?type=vcg&per_page=100,NOT_VERIFIED
Scaleway,NVIDIA L40S,48,1,"L40S-1-48G ('from EUR1.47/hr' x an UNCHECKED 1.1535 FX rate - LABEL, DO NOT TRUST)",8,96,1600,1.7,,1.7,"PAR-2 Paris, WAW-2 Warsaw (EU)",48GB,https://www.scaleway.com/en/l40s-gpu-instance/,UNVERIFIABLE
UpCloud,NVIDIA L40S,48,1,1x L40S / 16c / 192GB,16,192,,1.74,1.31,1.74,FI-HEL2 Helsinki (EU),48GB,https://upcloud.com/global/products/gpu-servers/,CORRECTED
Beam Cloud,NVIDIA L40S,48,1,L40S PCIE,,,,1.7496,,1.7496,not stated,48GB,https://www.beam.cloud/pricing,NOT_VERIFIED
RunPod (Serverless),NVIDIA L40 / L40S / RTX 6000 Ada,48,1,NVIDIA L40 / L40S / RTX 6000 Ada Serverless,,,,1.75,,1.75,global list,48GB,https://www.runpod.io/pricing,CORRECTED
OVHcloud,NVIDIA L40S,48,1,l40s-90,15,90,400,1.8,,1.8,Gravelines FR (EU),48GB,https://www.ovhcloud.com/en/public-cloud/prices/,NOT_VERIFIED
Nebius,NVIDIA L40S (Intel CPU),48,1,L40S Intel,,,,1.82,0.9,1.82,eu-north1 Finland (EU),48GB,https://nebius.com/prices,CORRECTED
Cerebrium,NVIDIA L40S,48,1,L40s,,,,1.9512,,1.9512,US ONLY - not in either GA EU region,48GB,https://www.cerebrium.ai/pricing,CORRECTED
Modal,NVIDIA L40S,48,1,NVIDIA L40S (US base rate),,,,1.9512,,1.9512,base rate; region-agnostic,48GB,https://modal.com/pricing,CORRECTED
AWS EC2,NVIDIA L40S,48,1,g6e.xlarge,4,32,250,1.961,,1.961,eu-south-2 Spain (cheapest EU),48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Spain)/Linux/index.json,CORRECTED
AWS EC2,NVIDIA L40S,48,1,g6e.xlarge,4,32,250,1.974,,1.974,eu-north-1 Stockholm,48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
UpCloud,NVIDIA L40S,48,2,2x L40S / 32c / 384GB,32,384,,4.28,3.21,2.14,FI-HEL2 Helsinki (EU),48GB,https://upcloud.com/global/products/gpu-servers/,CORRECTED
CoreWeave,NVIDIA L40S,48,8,"L40S node (8-GPU MINIMUM, no single-GPU SKU)",,,,18.0,7.88,2.25,North America; EU spot listed N/A for L40S,48GB,https://www.coreweave.com/pricing,NOT_VERIFIED
AWS EC2,NVIDIA L40S,48,1,g6e.xlarge,4,32,250,2.327,,2.327,eu-central-1 Frankfurt,48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Frankfurt)/Linux/index.json,CORRECTED
AWS EC2,NVIDIA L40S,48,4,g6e.12xlarge,48,384,3800,11.12975,,2.7824,eu-north-1 Stockholm,48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
Modal,NVIDIA L40S,48,1,"NVIDIA L40S (EU-pinned, broad 'eu' 1.5x multiplier)",,,,2.9268,,2.9268,eu (EEA broad),48GB,https://modal.com/pricing,CORRECTED
AWS EC2,NVIDIA L40S,48,1,g6e.4xlarge,16,128,600,3.18666,,3.1867,eu-north-1 Stockholm,48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
Modal,NVIDIA L40S,48,1,"L40S (EU narrow eu-west Dublin, 1.75x)",,,,3.4146,,3.4146,eu-west Dublin,48GB,https://modal.com/pricing,CORRECTED
Replicate,NVIDIA L40S,48,1,Nvidia L40S,,,,3.51,,3.51,no region selection in the product,48GB,https://replicate.com/pricing,NOT_VERIFIED
machine.dev,NVIDIA L40S,48,1,L40S 4 vCPU / 32GB,4,32,,3.72,0.94,3.72,eu-south-2 Spain (EU) - the EU ceiling; 96GB tier NOT in Spain,48GB,https://machine.dev/docs/platform-specifications/gpu-runners/,NOT_VERIFIED
AWS EC2,NVIDIA L40S,48,8,g6e.48xlarge,192,1536,7600,31.96075,,3.9951,eu-north-1 Stockholm,48GB,https://b0.p.awsstatic.com/pricing/2.0/meteredUnitMaps/ec2/USD/current/ec2-ondemand-without-sec-sel/EU%20(Stockholm)/Linux/index.json,CORRECTED
machine.dev,NVIDIA L40S,48,1,L40S 16 vCPU / 128GB,16,128,,6.01,0.97,6.01,eu-south-2 Spain (EU),48GB,https://machine.dev/docs/platform-specifications/gpu-runners/,NOT_VERIFIED
Cerebrium,NVIDIA L40,48,1,L40 - the only EU-schedulable 48GB option,,,,,,,eu-north-1 + eu-north1 (EU); NO PRICE PUBLISHED,48GB,https://cerebrium.ai/docs/cerebrium/deployments/multi-region-deployment,UNVERIFIABLE
Oracle Cloud (OCI),NVIDIA L40S,48,4,BM.GPU.L40S.4 (4-GPU BARE METAL ONLY),,,,,,,NOT ESTABLISHED - no region list fetched,48GB,https://docs.oracle.com/en-us/iaas/Content/Compute/References/computeshapes.htm,UNVERIFIABLE
Vast.ai,NVIDIA RTX PRO 6000 WS,96,1,host offer,16,189,73,1.0015,1.0,1.0015,Czechia (EU) - only 73GB local disk; NL offer $1.0022 w/ 895GB is the better pick,80GB+,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
Thunder Compute,NVIDIA A100 80GB,80,1,A100 80GB,,,,1.09,,1.09,North America ONLY,80GB+,https://www.thundercompute.com/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA A100 PCIe 80GB,80,1,"NVIDIA A100 PCIe 80GB Pod - Community (3rd-party hosts, NOT preemptible)",,,,1.19,,1.19,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
Google Cloud,NVIDIA RTX 6000 96GB,96,1,"'RTX 6000 96GB' G4 ACCELERATOR-ONLY - MOST SUSPECT FIGURE IN THE DATASET, may be a slice not a card",,,,1.205215,,1.2052,europe-north1 Finland,80GB+,https://cloud.google.com/skus,UNVERIFIABLE
Hyperstack,NVIDIA A100 PCIe 80GB,80,1,A100 PCIe 80GB,,,,1.35,,1.35,not region-differentiated,80GB+,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA A100 SXM 80GB,80,1,"NVIDIA A100 SXM 80GB Pod - Community (3rd-party hosts, NOT preemptible)",,,,1.39,,1.39,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA A100 PCIe 80GB,80,1,NVIDIA A100 PCIe 80GB Pod - Secure,,,,1.39,,1.39,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA A100 SXM 80GB,80,1,NVIDIA A100 SXM 80GB Pod - Secure,,,,1.49,,1.49,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Hetzner,NVIDIA RTX PRO 6000 Blackwell Max-Q,96,1,"GEX131 DEDICATED bare metal (monthly rental, NOT ephemeral)",24,256,1920,1.585,,1.585,"FSN1/NBG Germany, HEL1 Finland (EU)",80GB+,https://www.hetzner.com/pressroom/new-gex131/,NOT_VERIFIED
Hyperstack,NVIDIA A100 SXM 80GB,80,1,A100 SXM 80GB,,,,1.6,,1.6,not region-differentiated,80GB+,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
Koyeb,NVIDIA A100 80GB,80,1,A100,15,180,320,1.6,,1.6,not stated,80GB+,https://www.koyeb.com/pricing,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA RTX PRO 6000,96,1,"NVIDIA RTX PRO 6000 Pod - Community (3rd-party hosts, NOT preemptible)",,,,1.69,,1.69,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
Verda,NVIDIA A100 SXM4 80GB,80,1,A100 SXM4 80GB,22,120,,1.79,0.895,1.79,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
Nebius,NVIDIA RTX PRO 6000,96,1,RTX PRO 6000,,,,1.8,0.95,1.8,us-central1 Kansas City ONLY - NOT EU,80GB+,https://nebius.com/prices,CORRECTED
Hyperstack,NVIDIA RTX PRO 6000 SE,96,1,RTX PRO 6000 SE,,,,1.85,,1.85,not region-differentiated,80GB+,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
UpCloud,NVIDIA H100,80,1,1x H100 / 12c / 240GB,12,240,,1.89,1.88,1.89,FI-HEL2 Helsinki (EU),80GB+,https://upcloud.com/global/products/gpu-servers/,CORRECTED
UpCloud,NVIDIA H100,80,8,8x H100 / 96c / 1920GB,96,1920,,15.12,15.11,1.89,FI-HEL2 Helsinki (EU),80GB+,https://upcloud.com/global/products/gpu-servers/,CORRECTED
Verda,NVIDIA RTX PRO 6000,96,1,RTX PRO 6000,30,90,,1.89,0.945,1.89,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
Gcore,NVIDIA H100,80,1,H100 ('From EUR1.64/hr' ex-VAT x ASSUMED 1.17 FX),,,,1.92,,1.92,Luxembourg (EU) CONFIRMED first-party,80GB+,https://gcore.com/blog/h100-luxembourg,UNVERIFIABLE
Shadeform,NVIDIA RTX PRO 6000,96,1,RTXPro6000 (via verda),30,90,250,1.95,,1.95,FI Central (EU),80GB+,https://api.shadeform.ai/v1/instances/types,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA H100 PCIe,80,1,"NVIDIA H100 PCIe Pod - Community (3rd-party hosts, NOT preemptible)",,,,1.99,,1.99,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Secure Cloud),NVIDIA RTX PRO 6000,96,1,NVIDIA RTX PRO 6000 Pod - Secure,,,,1.99,,1.99,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Voltage Park,NVIDIA HGX H100,80,1,On-Demand H100 Ethernet ('starting at' marketing figure),,,,1.99,,1.99,US ONLY - no European datacenters,80GB+,https://www.voltagepark.com/pricing,UNVERIFIABLE
Crusoe Cloud,NVIDIA A100 PCIe 80GB,80,1,A100 PCIe 80GB,,,,2.0,,2.0,eu-iceland1-a (EEA),80GB+,https://www.crusoe.ai/cloud/pricing,NOT_VERIFIED
Exoscale,NVIDIA RTX Pro 6000,96,4,RTX Pro 6000 LARGE,144,480,100,8.19,,2.0475,"DE-FRA-1, HR-ZAG-1 (EU)",80GB+,https://www.exoscale.com/pricing/,UNVERIFIABLE
Exoscale,NVIDIA RTX Pro 6000,96,2,RTX Pro 6000 MEDIUM,72,240,100,4.17,,2.085,"DE-FRA-1, HR-ZAG-1 (EU)",80GB+,https://www.exoscale.com/pricing/,UNVERIFIABLE
Cerebrium,NVIDIA A100 80GB,80,1,A100 80GB,,,,2.0988,,2.0988,US ONLY - not in either GA EU region,80GB+,https://www.cerebrium.ai/pricing,CORRECTED
Exoscale,NVIDIA RTX Pro 6000,96,1,RTX Pro 6000 SMALL,36,120,100,2.15,,2.15,"DE-FRA-1, HR-ZAG-1 (EU); CH-DK-2 (non-EU)",80GB+,https://www.exoscale.com/pricing/,UNVERIFIABLE
Thunder Compute,NVIDIA H100 PCIe,80,1,H100 PCIe,,,,2.19,,2.19,North America ONLY,80GB+,https://www.thundercompute.com/pricing,CORRECTED
Koyeb,NVIDIA RTX PRO 6000,96,1,RTX Pro 6000,15,220,240,2.2,,2.2,not stated,80GB+,https://www.koyeb.com/pricing,NOT_VERIFIED
Vast.ai,NVIDIA H100 SXM,80,1,host offer (datacenter-verified),32,126,1765,2.2027,1.6,2.2027,Czechia (EU) - only 2 EU H100 SXM offers existed,80GB+,https://console.vast.ai/api/v0/bundles/,NOT_VERIFIED
Beam Cloud,NVIDIA A100 80GB,80,1,A100 80GB SXM4,,,,2.25,,2.25,not stated,80GB+,https://www.beam.cloud/pricing,NOT_VERIFIED
TensorDock,NVIDIA H100 SXM5,80,1,H100 SXM5 (Voltage Park Dallas),,,,2.25,1.3,2.25,US Dallas; NO EU datacenter disclosed,80GB+,https://www.tensordock.com/gpu-h100.html,UNVERIFIABLE
Lambda,NVIDIA GH200,96,1,1x GH200,64,432,4000,2.29,,2.29,global rate card,80GB+,https://lambda.ai/pricing,CORRECTED
Cerebrium,NVIDIA RTX PRO 6000,96,1,RTX PRO 6000,,,,2.4984,,2.4984,US ONLY,80GB+,https://www.cerebrium.ai/pricing,CORRECTED
Modal,NVIDIA A100 80GB,80,1,NVIDIA A100 80GB (US base rate),,,,2.4984,,2.4984,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
CoreWeave,NVIDIA RTX PRO 6000,96,8,RTX PRO 6000 node (8-GPU MINIMUM),,,,20.0,11.01,2.5,EU spot $11.01 available,80GB+,https://www.coreweave.com/pricing,NOT_VERIFIED
Koyeb,NVIDIA H100,80,1,H100,15,180,320,2.5,,2.5,not stated,80GB+,https://www.koyeb.com/pricing,NOT_VERIFIED
DigitalOcean,AMD Instinct MI300X,192,1,MI300X GPU Droplet,20,240,720,2.59,,2.59,ATL1 only - no EU,80GB+,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
RunPod (Community Cloud),NVIDIA H100 NVL,94,1,"NVIDIA H100 NVL Pod - Community (3rd-party hosts, NOT preemptible)",,,,2.59,,2.59,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Community Cloud),NVIDIA H100 SXM,80,1,"NVIDIA H100 SXM Pod - Community (3rd-party hosts, NOT preemptible)",,,,2.69,,2.69,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
RunPod (Serverless),NVIDIA A100 80GB,80,1,NVIDIA A100 80GB Serverless,,,,2.72,,2.72,global list,80GB+,https://www.runpod.io/pricing,CORRECTED
Beam Cloud,NVIDIA RTX PRO 6000,96,1,RTX PRO 6000,,,,2.7288,,2.7288,not stated,80GB+,https://www.beam.cloud/pricing,NOT_VERIFIED
Lambda,NVIDIA A100 SXM 80GB,80,8,8x A100 SXM (per-GPU $2.79; node $22.32),240,1800,19500,22.32,,2.79,global rate card,80GB+,https://lambda.ai/pricing,CORRECTED
Vultr,NVIDIA A100 SXM 80GB,80,8,vbm-112c-2048gb-8-a100-gpu (only Vultr GPU plan with a live EU region),112,2048,960,22.4,,2.8,ewr New Jersey + fra Frankfurt (EU),80GB+,https://api.vultr.com/v2/plans-metal?per_page=100,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA H100 PCIe,80,1,NVIDIA H100 PCIe Pod - Secure,,,,2.89,,2.89,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
OVHcloud,NVIDIA H100,80,1,h100-380,30,380,200,2.99,,2.99,Gravelines FR (EU),80GB+,https://www.ovhcloud.com/en/public-cloud/prices/,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA H100 SXM,80,1,NVIDIA H100 SXM Pod - Secure,,,,2.99,,2.99,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Koyeb,NVIDIA H200,141,1,H200,15,240,320,3.0,,3.0,not stated,80GB+,https://www.koyeb.com/pricing,NOT_VERIFIED
Modal,NVIDIA RTX PRO 6000,96,1,NVIDIA RTX PRO 6000 (US base rate),,,,3.0312,,3.0312,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
OVHcloud,NVIDIA A100 80GB,80,1,a100-180,15,180,300,3.07,,3.07,Gravelines FR (EU),80GB+,https://www.ovhcloud.com/en/public-cloud/prices/,NOT_VERIFIED
RunPod (Secure Cloud),NVIDIA H100 NVL,94,1,NVIDIA H100 NVL Pod - Secure,,,,3.19,,3.19,EU-CZ-1/FR-1/NL-1/RO-1/SE-1 (EU) or EUR-IS (EEA),80GB+,https://www.runpod.io/pricing,CORRECTED
Hyperstack,NVIDIA H100 SXM,80,1,H100 SXM,,,,3.2,,3.2,not region-differentiated,80GB+,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
IONOS Cloud,NVIDIA RTX PRO 6000 Blackwell,96,1,"IP4-50 GPU (DEDICATED line; $2,340/mo cap)",32,256,1920,3.25,,3.25,DE/FR/ES (EU),80GB+,https://www.ionos.com/servers/gpu-server,NOT_VERIFIED
Verda,NVIDIA H100 SXM5,80,1,H100 SXM5,30,120,,3.25,1.63,3.25,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
Lambda,NVIDIA H100 PCIe,80,1,1x H100 PCIe,26,225,1000,3.29,,3.29,global rate card,80GB+,https://lambda.ai/pricing,CORRECTED
Cerebrium,NVIDIA H100,80,1,H100,,,,3.3984,,3.3984,"eu-north-1 Stockholm, eu-north1 Finland (EU)",80GB+,https://www.cerebrium.ai/pricing,CORRECTED
Beam Cloud,NVIDIA H100,80,1,H100 PCIE,,,,3.5496,,3.5496,not stated,80GB+,https://www.beam.cloud/pricing,NOT_VERIFIED
RunPod (Community Cloud),NVIDIA H200,141,1,"NVIDIA H200 Pod - Community (3rd-party hosts, NOT preemptible)",,,,3.59,,3.59,EU DCs where stocked,80GB+,https://www.runpod.io/pricing,CORRECTED
Modal,NVIDIA A100 80GB,80,1,"NVIDIA A100 80GB (EU-pinned, broad 'eu' 1.5x multiplier)",,,,3.7476,,3.7476,eu (EEA broad),80GB+,https://modal.com/pricing,CORRECTED
DigitalOcean,AMD Instinct MI325X,256,1,MI325X GPU Droplet,20,164,720,3.8,,3.8,NYC2/SFO3/TOR1/ATL1 - no EU,80GB+,https://www.digitalocean.com/pricing/gpu-droplets,CONFIRMED
Nebius,NVIDIA HGX H100,80,1,HGX H100,,,,3.85,2.15,3.85,eu-north1 Finland (EU) - only region,80GB+,https://nebius.com/prices,CORRECTED
Crusoe Cloud,NVIDIA H100 HGX,80,1,H100 HGX,,,,3.9,,3.9,eu-iceland1-a (EEA),80GB+,https://www.crusoe.ai/cloud/pricing,NOT_VERIFIED
Modal,NVIDIA H100,80,1,NVIDIA H100 (US base rate),,,,3.9492,,3.9492,base rate; region-agnostic,80GB+,https://modal.com/pricing,CORRECTED
Hyperstack,NVIDIA H200 SXM,141,1,H200 SXM,,,,3.99,,3.99,not region-differentiated,80GB+,https://www.hyperstack.cloud/gpu-pricing,NOT_VERIFIED
Lambda,NVIDIA H100 SXM,80,8,8x H100 SXM (per-GPU $3.99; node $31.92),208,1800,22000,31.92,,3.99,global rate card,80GB+,https://lambda.ai/pricing,CORRECTED
Together AI,NVIDIA HGX H100 SXM,80,1,GPU Cluster - H100 (per GPU-hr; ~3-day minimum),,,,3.99,,3.99,no region published,80GB+,https://www.together.ai/pricing,NOT_VERIFIED
Verda,NVIDIA H200 SXM5,141,1,H200 SXM5,44,182,,4.0,2.0,4.0,FIN Helsinki (EU),80GB+,https://verda.com/pricing,CONFIRMED
Cerebrium,NVIDIA H200,141,1,H200,,,,4.1976,,4.1976,eu-north-1 Stockholm (EU),80GB+,https://www.cerebrium.ai/pricing,CORRECTED
